,Unnamed: 0,location,tiplabel,Family,Subfamily,n,range,alt_max,alt_mid,alt_min,dry_weight,body_length,wing_length,CTmax,CTmin,CTrange,range_1,range(%),alt_max(%),alt_min(%),Tmax,Tmin,Tmean,DTR
0,0,CA,Bombycidae,Bombycidae,Bombycidae-1,6,0,470,470.0,470,0.024833333,12.00333333,14.04333333,45.1,-1.6,46.7,1e-06,0.0,0.2402862985685071,0.2402862985685071,26.08593583,20.27958976,22.74981034,5.806346071
1,1,CA,Thyatiridae_Siculodinae,Thyatiridae,Siculodinae,3,0,470,470.0,470,0.019166667,11.94666667,14.26333333,39.2,0.0,39.2,1e-06,0.0,0.2402862985685071,0.2402862985685071,26.08593583,20.27958976,22.74981034,5.806346071
2,2,CA,Crambidae_Acentropinae,Crambidae,Acentropinae,6,596,1066,796.0,470,0.006966667,8.531666667,10.46333333,47.3,-2.1,49.4,596.000001,0.4010767160161507,0.5449897750511248,0.2402862985685071,24.7513415,19.64286734,21.78843282,5.108474165
3,3,CA,Noctuidae_Eustrotiinae,Noctuidae,Eustrotiinae,10,1486,1956,796.0,470,0.00633,9.448,10.263,48.1,-2.4,50.5,1486.000001,1.0,1.0,0.2402862985685071,24.7513415,19.64286734,21.78843282,5.108474165
4,4,CA,Erebidae_Hyenodinae,Erebidae,Hyenodinae,3,0,796,796.0,796,0.002,6.866666667,9.036666667,46.4,-2.2,48.6,1e-06,0.0,0.4069529652351738,0.4069529652351738,24.7513415,19.64286734,21.78843282,5.108474165
5,5,CA,Erebidae_Hypeninae,Erebidae,Hypeninae,18,1024,1494,796.0,470,0.007572222,9.848333333,11.54444444,46.9,-2.5,49.4,1024.000001,0.6890982503364738,0.7638036809815951,0.2402862985685071,24.7513415,19.64286734,21.78843282,5.108474165
6,6,CA,Erebidae_Arctiinae,Erebidae,Arctiinae,369,1816,1956,1066.0,140,0.014018852,10.02696133,13.01561644,48.0,-4.4,52.4,1816.000001,1.2220726783310902,1.0,0.0715746421267893,23.6130126,18.65136286,20.71601623,4.961649741
7,7,CA,Crambidae_Crambinae,Crambidae,Crambinae,5,736,1802,1066.0,1066,0.01894,10.308,11.55,43.1,-2.7,45.8,736.000001,0.4952893674293405,0.9212678936605316,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
8,8,CA,Geometridae_Desmobathrinae,Geometridae,Desmobathrinae,11,0,1066,1066.0,1066,0.005918182,12.69545455,14.52181818,44.5,-0.9,45.4,1e-06,0.0,0.5449897750511248,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
9,9,CA,Drepanidae_Drepaninae,Drepanidae,Drepaninae,17,428,1494,1066.0,1066,0.015341176,10.50823529,16.69733333,45.8,-2.5,48.3,428.000001,0.288021534320323,0.7638036809815951,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
10,10,CA,Geometridae_Ennominae,Geometridae,Ennominae,501,1816,1956,1066.0,140,0.030112575,14.7307014,19.75963783,48.6,-3.5,52.1,1816.000001,1.2220726783310902,1.0,0.0715746421267893,23.6130126,18.65136286,20.71601623,4.961649741
11,11,CA,Euteliidae_Euteliinae,Euteliidae,Euteliinae,9,308,1374,1066.0,1066,0.0332,12.72444444,14.48,46.5,-0.2,46.7,308.000001,0.2072678331090175,0.7024539877300614,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
12,12,CA,Geometridae_Geometrinae,Geometridae,Geometrinae,57,270,1066,1066.0,796,0.016605263,12.28912281,15.94491228,47.3,-3.7,51.0,270.000001,0.1816958277254374,0.5449897750511248,0.4069529652351738,23.6130126,18.65136286,20.71601623,4.961649741
13,13,CA,Erebidae_Herminiinae,Erebidae,Herminiinae,142,1486,1956,1066.0,470,0.014411972,11.22190141,13.03119718,47.4,-3.7,51.1,1486.000001,1.0,1.0,0.2402862985685071,23.6130126,18.65136286,20.71601623,4.961649741
14,14,CA,Geometridae_Larentiinae,Geometridae,Larentiinae,44,1006,1802,1066.0,796,0.005954545,8.224545455,10.65613636,47.1,-6.2,53.3,1006.000001,0.676985195154778,0.9212678936605316,0.4069529652351738,23.6130126,18.65136286,20.71601623,4.961649741
15,15,CA,Limacodidae_Limacodinae,Limacodidae,Limacodinae,9,270,1066,1066.0,796,0.0407,13.80888889,12.90222222,42.0,-2.9,44.9,270.000001,0.1816958277254374,0.5449897750511248,0.4069529652351738,23.6130126,18.65136286,20.71601623,4.961649741
16,16,CA,Erebidae_Lymantriinae,Erebidae,Lymantriinae,139,1816,1956,1066.0,140,0.035046043,13.28330935,17.16715328,47.5,-3.8,51.3,1816.000001,1.2220726783310902,1.0,0.0715746421267893,23.6130126,18.65136286,20.71601623,4.961649741
17,17,CA,Noctuidae_Noctuinae,Noctuidae,Noctuinae,30,734,1800,1066.0,1066,0.061226667,16.319,17.33966667,44.3,-2.0,46.3,734.000001,0.4939434724091521,0.9202453987730062,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
18,18,CA,Notodontidae_Notodontinae,Notodontidae,Notodontinae,17,578,1374,1066.0,796,0.077217647,18.83411765,20.75,44.7,-0.1,44.8,578.000001,0.3889636608344549,0.7024539877300614,0.4069529652351738,23.6130126,18.65136286,20.71601623,4.961649741
19,19,CA,Noctuidae_Pantheinae,Noctuidae,Pantheinae,4,0,1066,1066.0,1066,0.090525,18.395,21.8625,45.1,5.6,39.5,1e-06,0.0,0.5449897750511248,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
20,20,CA,Pyralidae_Pyralinae,Pyralidae,Pyralinae,58,1332,1802,1066.0,470,0.0101,9.660877193,10.48241379,47.7,-2.9,50.6,1332.000001,0.8963660834454913,0.9212678936605316,0.2402862985685071,23.6130126,18.65136286,20.71601623,4.961649741
21,21,CA,Notodontidae_Spataliinae,Notodontidae,Spataliinae,6,904,1374,1066.0,470,0.058833333,20.70833333,21.75333333,44.3,2.1,42.2,904.000001,0.6083445491251682,0.7024539877300614,0.2402862985685071,23.6130126,18.65136286,20.71601623,4.961649741
22,22,CA,Crambidae_Spilomelinae,Crambidae,Spilomelinae,246,1332,1802,1066.0,470,0.013985772,12.10273469,13.06151639,48.4,-4.3,52.7,1332.000001,0.8963660834454913,0.9212678936605316,0.2402862985685071,23.6130126,18.65136286,20.71601623,4.961649741
23,23,CA,Geometridae_Sterrhinae,Geometridae,Sterrhinae,31,904,1374,1066.0,470,0.011754839,10.45548387,14.63935484,46.5,-5.1,51.6,904.000001,0.6083445491251682,0.7024539877300614,0.2402862985685071,23.6130126,18.65136286,20.71601623,4.961649741
24,24,CA,Uraniidae_Uraniinae,Uraniidae,Uraniinae,4,0,1066,1066.0,1066,0.036925,16.855,29.7625,42.3,1.8,40.5,1e-06,0.0,0.5449897750511248,0.5449897750511248,23.6130126,18.65136286,20.71601623,4.961649741
25,25,CA,Erebidae_Boletobiinae,Erebidae,Boletobiinae,29,308,1374,1220.0,1066,0.005044828,7.604642857,9.659655172,47.7,-3.8,51.5,308.000001,0.2072678331090175,0.7024539877300614,0.5449897750511248,23.13634841,17.78768143,20.01448787,5.348666976
26,26,CA,Uraniidae_Epipleminae,Uraniidae,Epipleminae,15,308,1374,1220.0,1066,0.007093333,7.99,12.34333333,44.6,-4.2,48.8,308.000001,0.2072678331090175,0.7024539877300614,0.5449897750511248,23.13634841,17.78768143,20.01448787,5.348666976
27,27,CA,Erebidae_Erebinae,Erebidae,Erebinae,69,1330,1800,1220.0,470,0.08612029,19.47898551,24.84238806,47.3,-2.4,49.7,1330.000001,0.8950201884253028,0.9202453987730062,0.2402862985685071,23.13634841,17.78768143,20.01448787,5.348666976
28,28,CA,Pyralidae_Phycitinae,Pyralidae,Phycitinae,8,0,1374,1374.0,1374,0.00485,8.09875,9.1375,45.6,-2.3,47.9,1e-06,0.0,0.7024539877300614,0.7024539877300614,21.87130353,15.99444845,18.59760771,5.876855083
29,29,CA,Euteliidae_Stictopterinae,Euteliidae,Stictopterinae,4,0,1374,1374.0,1374,0.00755,9.045,10.4875,43.7,-1.8,45.5,1e-06,0.0,0.7024539877300614,0.7024539877300614,21.87130353,15.99444845,18.59760771,5.876855083
30,30,CA,Erebidae_Aganainae,Erebidae,Aganainae,4,734,1800,1433.0,1066,0.102325,21.7925,30.2125,43.8,4.8,39.0,734.000001,0.4939434724091521,0.9202453987730062,0.5449897750511248,21.39264384,15.43007787,18.16328698,5.96256597
31,31,CA,Erebidae_Pangraptinae,Erebidae,Pangraptinae,10,0,1494,1494.0,1494,0.02617,14.27,16.838,46.7,0.7,46.0,1e-06,0.0,0.7638036809815951,0.7638036809815951,20.90593944,14.85622206,17.72166674,6.049717376
32,32,CA,Nolidae_Nolinae,Nolidae,Nolinae,22,1006,1802,1800.0,796,0.003840909,6.530454545,8.102727273,46.5,-4.0,50.5,1006.000001,0.676985195154778,0.9212678936605316,0.4069529652351738,18.7170441,14.31193457,16.15592134,4.405109531
33,33,CA,Crambidae_Scopariinae,Crambidae,Scopariinae,22,1006,1802,1802.0,796,0.003013636,7.29952381,8.109047619,47.5,-3.4,50.9,1006.000001,0.676985195154778,0.9212678936605316,0.4069529652351738,18.69920436,14.29917496,16.14189209,4.400029398
34,0,MC,Thyrididae_Siculodinae,Thyrididae,Siculodinae,5,0,544,544.0,544,0.01474,8.97,13.194,45.5,0.0,45.5,1e-06,0.0,0.1732484076433121,0.1732484076433121,30.65905761,21.22016831,25.35817702,9.438889289
35,1,MC,Noctuidae_Eriopinae,Noctuidae,Eriopinae,28,1391,1734,876.0,343,0.02205,13.1375,15.29178571,46.6,-2.7,49.3,1391.000001,0.4973185555952806,0.5522292993630573,0.1092356687898089,29.65866173,19.69577153,23.53389395,9.9628902
36,2,MC,Limacodidae_Limacodinae,Limacodidae,Limacodinae,13,1696,2039,876.0,343,0.048769231,13.84615385,14.90461538,44.5,0.3,44.2,1696.000001,0.6063639613872006,0.6493630573248408,0.1092356687898089,29.65866173,19.69577153,23.53389395,9.9628902
37,3,MC,Erebidae_Scoliopteryginae,Erebidae,Scoliopteryginae,5,711,1255,1065.5,544,0.07058,18.436,21.784,43.3,0.2,43.1,711.000001,0.2542009295673936,0.3996815286624204,0.1732484076433121,28.28532354,18.85975947,22.35331395,9.425564065
38,4,MC,Erebidae_Aganainae,Erebidae,Aganainae,46,2007,2350,1110.0,343,0.108332609,22.35478261,34.00454545,45.4,-2.9,48.3,2007.000001,0.717554522702896,0.7484076433121019,0.1092356687898089,27.84213192,18.68830682,22.09044482,9.153825099
39,5,MC,Pyralidae_Epipaschiinae,Pyralidae,Epipaschiinae,35,1391,1734,1110.0,343,0.025946875,12.91514286,14.446,47.6,-3.0,50.6,1391.000001,0.4973185555952806,0.5522292993630573,0.1092356687898089,27.84213192,18.68830682,22.09044482,9.153825099
