tiplabel,Family,Subfamily,CTmax,CTmin,TTrange
Bombycidae_Bombycinae,Bombycidae,Bombycinae,45.1,-1.6,46.7
Crambidae_Acentropinae,Crambidae,Acentropinae,47.3,-2.1,49.4
Crambidae_Crambinae,Crambidae,Crambinae,43.1,-2.7,45.8
Crambidae_Scopariinae,Crambidae,Scopariinae,47.5,-3.4,50.9
Crambidae_Spilomelinae,Crambidae,Spilomelinae,48.4,-4.3,52.7
Drepanidae_Drepaninae,Drepanidae,Drepaninae,45.8,-2.5,48.3
Erebidae_Aganainae,Erebidae,Aganainae,43.8,4.8,39
Erebidae_Arctiinae,Erebidae,Arctiinae,48,-4.4,52.4
Erebidae_Boletobiinae,Erebidae,Boletobiinae,47.7,-3.8,51.5
Erebidae_Erebinae,Erebidae,Erebinae,47.3,-2.4,49.7
Erebidae_Herminiinae,Erebidae,Herminiinae,47.4,-3.7,51.1
Erebidae_Hyenodinae,Erebidae,Hyenodinae,46.4,-2.2,48.6
Erebidae_Hypeninae,Erebidae,Hypeninae,46.9,-2.5,49.4
Erebidae_Lymantriinae,Erebidae,Lymantriinae,47.5,-3.8,51.3
Erebidae_Pangraptinae,Erebidae,Pangraptinae,46.7,0.7,46
Euteliidae_Euteliinae,Euteliidae,Euteliinae,46.5,-0.2,46.7
Euteliidae_Stictopterinae,Euteliidae,Stictopterinae,43.7,-1.8,45.5
Geometridae_Desmobathrinae,Geometridae,Desmobathrinae,44.5,-0.9,45.4
Geometridae_Ennominae,Geometridae,Ennominae,48.6,-3.5,52.1
Geometridae_Geometrinae,Geometridae,Geometrinae,47.3,-3.7,51
Geometridae_Larentiinae,Geometridae,Larentiinae,47.1,-6.2,53.3
Geometridae_Sterrhinae,Geometridae,Sterrhinae,46.5,-5.1,51.6
Noctuidae_Eustrotiinae,Noctuidae,Eustrotiinae,48.1,-2.4,50.5
Noctuidae_Noctuinae,Noctuidae,Noctuinae,44.3,-2,46.3
Noctuidae_Pantheinae,Noctuidae,Pantheinae,45.1,5.6,39.5
Nolidae_Nolinae,Nolidae,Nolinae,46.5,-4,50.5
Notodontidae_Notodontinae,Notodontidae,Notodontinae,44.7,-0.1,44.8
Pyralidae_Phycitinae,Pyralidae,Phycitinae,45.6,-2.3,47.9
Pyralidae_Pyralinae,Pyralidae,Pyralinae,47.7,-2.9,50.6
Uraniidae_Epipleminae,Uraniidae,Epipleminae,44.6,-4.2,48.8
Uraniidae_Uraniinae,Uraniidae,Uraniinae,42.3,1.8,40.5
