tiplabel,Family,Subfamily,CTmax,CTmin,TTrange
Crambidae_Spilomelinae,Crambidae,Spilomelinae,46,-4.7,50.7
Erebidae_Aganainae,Erebidae,Aganainae,45.4,-2.9,48.3
Erebidae_Arctiinae,Erebidae,Arctiinae,47.9,-5.2,53.1
Erebidae_Erebinae,Erebidae,Erebinae,47.9,-3.5,51.4
Erebidae_Herminiinae,Erebidae,Herminiinae,39.5,-1.1,40.6
Erebidae_Hypeninae,Erebidae,Hypeninae,49.1,-0.6,49.7
Erebidae_Hypocalinae,Erebidae,Hypocalinae,49.8,-3.7,53.5
Erebidae_Lymantriinae,Erebidae,Lymantriinae,48.4,-4.3,52.7
Erebidae_Scoliopteryginae,Erebidae,Scoliopteryginae,43.3,0.2,43.1
Geometridae_Ennominae,Geometridae,Ennominae,48.7,-4.6,53.3
Geometridae_Geometrinae,Geometridae,Geometrinae,46.9,-3.4,50.3
Geometridae_Larentiinae,Geometridae,Larentiinae,44.1,-4.3,48.4
Noctuidae_Acronictinae,Noctuidae,Acronictinae,48.6,-2.8,51.4
Noctuidae_Amphipyrinae,Noctuidae,Amphipyrinae,46,-2.1,48.1
Noctuidae_Bagisarinae,Noctuidae,Bagisarinae,48.3,-1.2,49.5
Noctuidae_Eriopinae,Noctuidae,Eriopinae,46.6,-2.7,49.3
Noctuidae_Noctuinae,Noctuidae,Noctuinae,47.4,-4.1,51.5
Noctuidae_Pantheinae,Noctuidae,Pantheinae,46.9,-2.2,49.1
Nolidae_Chloephorinae,Nolidae,Chloephorinae,47.8,-4.2,52
Nolidae_Eligminae,Nolidae,Eligminae,47.5,-1,48.5
Nolidae_Nolinae,Nolidae,Nolinae,44.1,-3.1,47.2
Notodontidae_Heterocampinae,Notodontidae,Heterocampinae,48.7,1.8,46.9
Notodontidae_Notodontinae,Notodontidae,Notodontinae,48.8,-3,51.8
Notodontidae_Phalerinae,Notodontidae,Phalerinae,46.4,0.5,45.9
Pyralidae_Epipaschiinae,Pyralidae,Epipaschiinae,47.6,-3,50.6
Pyralidae_Phycitinae,Pyralidae,Phycitinae,47.5,-3.3,50.8
