Family,Species,Sample Size,Elev_up,Elev_low,Elev_mid,RS,W_length,B_length,Dry_Weight,CTmax,CTmin,TTrange,STmax,STmin,STR,STmean,Location,DTmax,DTmin,DTmean,DTR
Erebidae,CA_AGA01,2,1372,509,940.5,863,31.835,22.7,0.139,41,10.9,30.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Crambidae,CA_CRA17,4,1372,509,940.5,863,15.0525,13.5425,0.021575,38.13333333,5.6,32.53333333,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Crambidae,CA_CRA28,2,1372,509,940.5,863,11.22,9.785,0.0058,38.2,-0.5,38.7,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Crambidae,CA_CRA38,8,1372,509,940.5,863,14.49,14.7175,0.01283875,38.6,10.4,28.2,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Crambidae,CA_CRA39,13,1372,509,940.5,863,11.79769231,11.01384615,0.008156154,42,0.9,41.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Crambidae,CA_CRA70,2,1372,509,940.5,863,11.61,11.39,0.009,39.7,2.1,37.6,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_ERE17,2,1372,509,940.5,863,20.845,17.085,0.0362,45.7,8.7,37,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_ERE20,3,1372,509,940.5,863,17.05,14.06666667,0.018466667,43.6,4.3,39.3,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_ERE39,2,1372,509,940.5,863,11.81,9.69,0.00555,42.25,,,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO33-2,3,1372,509,940.5,863,16.09333333,12.94666667,0.0086,44.75,1.9,42.85,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO54,3,1372,509,940.5,863,30.01,19.62,0.062466667,43.7,8.25,35.45,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO84,7,1372,509,940.5,863,17.94285714,13.91428571,0.014208571,41.5,1.4,40.1,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO85,3,1372,509,940.5,863,19.72666667,14.08666667,0.0195,42.7,1.1,41.6,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO86,8,1372,509,940.5,863,21.87875,18.16375,0.12588,43.45,6.08,37.37,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Geometridae,CA_GEO93,4,1372,509,940.5,863,10.97333333,7.84,0.0073,40.73333333,1.7,39.03333333,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Limacodidae,CA_LIM06,2,1372,509,940.5,863,9.12,9.75,0.01425,,2.55,,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_LYM-Euproctis-06,3,1372,509,940.5,863,12.28666667,10.20666667,0.009466667,38.95,1,37.95,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_LYM21,3,1372,509,940.5,863,15.54666667,12.94,0.026866667,41.7,8.9,32.8,23.35,14.2,9.15,19.28,Malaysia,24.15978052,19.36063915,21.36230076,4.799141373
Erebidae,CA_AGA02,2,1066,903,984.5,163,31.39,22.43,0.09469,41.7,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Crambidae,CA_CRA131,2,1066,903,984.5,163,12.535,12.05,0.01002,39.8,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Crambidae,CA_CRA44,7,1066,903,984.5,163,10.56857143,9.85,0.004558571,41.33333333,1.3,40.03333333,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Geometridae,CA_GEO138,2,1066,903,984.5,163,11.26,7.845,0.00449,,3.6,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Geometridae,CA_GEO139-2,2,1066,903,984.5,163,8.855,7.03,0.002325,41.8,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Geometridae,CA_GEO15,3,1066,903,984.5,163,23.17666667,16.28,0.032623333,42.2,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Geometridae,CA_GEO23,3,1066,903,984.5,163,19.345,18.66666667,0.035,43.6,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Geometridae,CA_GEO45,2,1066,903,984.5,163,11.365,9.485,0.004665,,1.2,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_LIT28-3,4,1066,903,984.5,163,7.505,5.33,0.00189,42.1,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Crambidae,CA_LIT32,2,1066,903,984.5,163,7.58,7.545,0.028495,,-2.8,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_LIT39,3,1066,903,984.5,163,17.10333333,12.53333333,0.028443333,39,2.9,36.1,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_LIT47,8,1066,903,984.5,163,20.99625,15.91,0.0327425,41.5,3.125,38.375,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_LIT65-2,2,1066,903,984.5,163,15.16,11.915,0.01805,41.5,,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_LIT88,4,1066,903,984.5,163,15.3075,13.56,0.02019,38.8,4.2,34.6,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Noctuidae,CA_NOC14,3,1066,903,984.5,163,15.64,17.02666667,0.046196667,,4.4,,23.9,14.72,9.18,19.81,Malaysia,23.97965123,19.27470115,21.23254428,4.704950072
Erebidae,CA_AGA03,1,1800,1800,1800,0,32.45,24.52,0.14559,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Erebidae,CA_RSARC111,1,1800,1800,1800,0,9.81,7.95,0.00473,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Erebidae,CA_RSARC19,1,1800,1800,1800,0,8.12,6.87,0.00242,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Erebidae,CA_RSERE13,1,1800,1800,1800,0,20.78,18.63,0.05138,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Geometridae,CA_RSGEO160,1,1800,1800,1800,0,8.7,5.57,0.00373,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Geometridae,CA_RSGEO95,1,1800,1800,1800,0,19.75,18.29,0.02708,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Geometridae,CA_RSGEO98,1,1800,1800,1800,0,10.94,7.57,0.00537,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Lecithoceridae,CA_RSLEC03,1,1800,1800,1800,0,9.43,6.73,0.00264,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Noctuidae,CA_RSNOC07,2,1800,1800,1800,0,20.445,16.96,0.079035,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Noctuidae,CA_RSNOC21,1,1800,1800,1800,0,9.83,9.13,0.00947,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
Nolidae,CA_RSNOL12,1,1800,1800,1800,0,20.4,17.6,0.0236,,,,19.85,10.81,9.04,15.87,Malaysia,18.7170441,14.31193456,16.15592133,4.405109531
